idx,ssim,psnr,lpips,brightness,color_temp,saturation
0,0.4892193437917614,10.683903502058715,0.24593237042427063,overexposed,warm_artificial,low
1,0.736118688869338,18.75899141931699,0.10069192945957184,twilight,warm_artificial,high
2,0.6985837802887862,18.10254435408629,0.1057727262377739,twilight,cool_artificial,high
3,0.6381146260862186,16.49543089402598,0.07603927701711655,overexposed,natural,low
4,0.46805224604634993,16.593523942938894,0.1021471917629242,day,warm_artificial,medium
5,0.6981151922304463,18.243873406830577,0.10215480625629425,twilight,natural,high
6,0.7670599661788163,16.006249215630724,0.14223790168762207,twilight,warm_artificial,high
7,0.7083317801288517,19.954800742085055,0.12899981439113617,day,natural,low
8,0.7360146910600234,19.19996914727622,0.10608702898025513,day,warm_artificial,low
9,0.6642908644702827,17.147792568858236,0.1536422073841095,overexposed,cool_artificial,medium
10,0.7833905737152896,11.314397900098879,0.22506405413150787,overexposed,cool_artificial,medium
11,0.6511392813857095,14.919005155390794,0.1373613178730011,twilight,warm_artificial,medium
12,0.5964776171976719,20.788017633146566,0.13591566681861877,overexposed,warm_artificial,medium
13,0.5534696039974757,18.759403829604096,0.1478094607591629,day,cool_artificial,medium
14,0.6613362784437232,19.43247561039873,0.1353287398815155,overexposed,warm_artificial,low
15,0.5931891504962541,19.611586404546575,0.0817360058426857,day,cool_artificial,medium
16,0.7000134456731413,23.300415617500427,0.10662488639354706,day,warm_artificial,medium
17,0.6354636939584974,20.839208215509398,0.08886672556400299,day,cool_artificial,high
18,0.8134831872134204,18.97310398787115,0.0737844929099083,overexposed,warm_artificial,low
19,0.6648343564415903,20.263173997117953,0.07160961627960205,day,warm_artificial,low
20,0.7519366040828861,24.611224931866484,0.06569235026836395,twilight,warm_artificial,medium
21,0.7516134640583315,17.25789418719955,0.09309791773557663,overexposed,cool_artificial,medium
22,0.4832247952211524,19.31824120023746,0.12687182426452637,day,natural,low
23,0.7239330044705392,19.6951119737174,0.08120867609977722,twilight,warm_artificial,medium
24,0.5643827625680288,17.58919375568054,0.11096474528312683,twilight,warm_artificial,medium
25,0.7303346732063943,24.62613321123069,0.056082528084516525,day,warm_artificial,medium
26,0.7017374927948126,19.398145290367623,0.08887466043233871,day,natural,medium
27,0.6365181258669413,17.701646318522656,0.1272602379322052,overexposed,cool_artificial,low
28,0.7024996682573444,23.198097056505755,0.08002586662769318,overexposed,cool_artificial,medium
29,0.5813369699727328,17.383379072856904,0.16059421002864838,twilight,cool_artificial,high
30,0.8394836818175349,26.93608936457435,0.0511443130671978,twilight,natural,medium
31,0.6499660913771074,16.054689174435875,0.14621561765670776,overexposed,warm_artificial,low
32,0.7070945706149544,20.26289928571878,0.07264688611030579,twilight,cool_artificial,medium
33,0.9272304983051104,23.59390994498806,0.07268986105918884,overexposed,cool_artificial,low
34,0.7424578551759998,20.108100140941943,0.11704205721616745,twilight,warm_artificial,high
35,0.6073155152208661,24.63325286399145,0.09141895174980164,twilight,warm_artificial,medium
36,0.6161906151128732,18.051721277808742,0.11926701664924622,twilight,warm_artificial,high
37,0.6225786273554128,23.003500383751543,0.07721544057130814,twilight,natural,medium
38,0.7691974225682303,24.09139595617591,0.12433589994907379,overexposed,warm_artificial,medium
39,0.8465512899892218,25.574080199815082,0.0709705650806427,night,warm_artificial,medium
40,0.6445627871856291,23.65278580559385,0.10386066138744354,twilight,warm_artificial,high
41,0.6582835608600196,25.273406640997425,0.10056313127279282,twilight,natural,medium
42,0.70111008292058,20.366535529849802,0.0664057582616806,twilight,natural,medium
43,0.36636044257957284,16.33428453404775,0.13214211165905,day,warm_artificial,medium
44,0.666337195841665,16.063144108173447,0.11699948459863663,night,warm_artificial,medium
45,0.6783971203979887,19.94571152026371,0.11904145777225494,day,warm_artificial,low
46,0.356583936079625,13.476022566657909,0.18464136123657227,overexposed,warm_artificial,high
47,0.6793789961820167,19.41774723496649,0.12793423235416412,overexposed,natural,low
48,0.8401804611753735,24.387039370567983,0.054384998977184296,overexposed,natural,low
49,0.760223681552442,18.84542668854981,0.14872723817825317,overexposed,warm_artificial,low
50,0.6387979513910141,22.68405871266079,0.07578273117542267,day,warm_artificial,medium
51,0.6102842797248531,17.600519790592312,0.23063385486602783,overexposed,warm_artificial,high
52,0.8243735530033236,25.6393327870737,0.05790388584136963,day,warm_artificial,medium
53,0.3654351075569764,16.117415202466823,0.1582014262676239,twilight,warm_artificial,medium
54,0.5552160906111779,14.922848282018926,0.17303892970085144,night,warm_artificial,high
55,0.8405291903438217,27.11234629118083,0.041986025869846344,twilight,warm_artificial,high
56,0.5909968520632245,20.915054993273134,0.10770800709724426,twilight,warm_artificial,medium
57,0.8151892816138758,25.426923103245656,0.05095489323139191,twilight,cool_artificial,medium
58,0.820569564932922,25.269753037587904,0.05113772302865982,night,warm_artificial,medium
59,0.8761790533825454,24.041475604750644,0.04967886954545975,day,cool_artificial,low
60,0.4616005569232589,20.206139676616147,0.2640175521373749,twilight,warm_artificial,high
61,0.6581031165853167,20.54952496569978,0.18975020945072174,twilight,warm_artificial,high
62,0.43900989820817427,16.478886145269588,0.23421600461006165,overexposed,cool_artificial,high
63,0.7098207609785373,18.377423364907155,0.12456636130809784,overexposed,cool_artificial,medium
64,0.6928340672953645,15.738197683938465,0.1711963713169098,overexposed,warm_artificial,medium
65,0.5446071138160758,20.558540004891874,0.14847347140312195,day,natural,medium
66,0.5188559932407516,21.067354335564158,0.08012152463197708,day,natural,low
67,0.8625527211709767,22.244498558857423,0.13287268579006195,overexposed,warm_artificial,medium
68,0.4311424849109347,16.410346362588992,0.17778494954109192,twilight,warm_artificial,medium
69,0.7920427065768587,20.123168231434466,0.07585221529006958,twilight,warm_artificial,medium
70,0.6126629560908757,20.845230689584945,0.09643460810184479,day,cool_artificial,medium
71,0.8014466875125991,23.0044004587932,0.08613947778940201,overexposed,cool_artificial,low
72,0.7737895028423618,26.567081984646936,0.06017063185572624,day,warm_artificial,medium
73,0.8077686048514034,28.71212831527377,0.0499163493514061,twilight,warm_artificial,medium
74,0.7151416880104208,20.400128862220388,0.08958979696035385,twilight,natural,medium
75,0.7783913719006232,26.714056612096346,0.06396366655826569,overexposed,warm_artificial,low
76,0.6453458043137951,22.419944306129324,0.0820544958114624,twilight,warm_artificial,medium
77,0.679204404229548,22.524317431126907,0.07270781695842743,overexposed,cool_artificial,medium
